model_group,year,normalized_theme,count,year_total_real,percentage
ChatGPT,2008,self_reflection_growth,9,99,9.090909090909092
ChatGPT,2008,empowerment_confidence,8,99,8.080808080808081
ChatGPT,2008,party_celebration,6,99,6.0606060606060606
ChatGPT,2008,lifestyle_success,10,99,10.1010101010101
ChatGPT,2008,social_commentary,3,99,3.0303030303030303
ChatGPT,2008,faith_spirituality,0,99,0.0
ChatGPT,2008,other,0,99,0.0
ChatGPT,2009,love_relationships,34,99,34.343434343434346
ChatGPT,2009,heartbreak_loss,13,99,13.131313131313131
ChatGPT,2009,sex_desire,12,99,12.121212121212121
ChatGPT,2009,self_reflection_growth,9,99,9.090909090909092
ChatGPT,2009,empowerment_confidence,12,99,12.121212121212121
ChatGPT,2009,party_celebration,11,99,11.11111111111111
ChatGPT,2009,lifestyle_success,6,99,6.0606060606060606
ChatGPT,2009,social_commentary,1,99,1.0101010101010102
ChatGPT,2009,faith_spirituality,0,99,0.0
ChatGPT,2009,other,1,99,1.0101010101010102
ChatGPT,2010,love_relationships,38,99,38.38383838383838
ChatGPT,2010,heartbreak_loss,12,99,12.121212121212121
ChatGPT,2010,sex_desire,12,99,12.121212121212121
ChatGPT,2010,self_reflection_growth,7,99,7.070707070707071
ChatGPT,2010,empowerment_confidence,6,99,6.0606060606060606
ChatGPT,2010,party_celebration,14,99,14.141414141414142
ChatGPT,2010,lifestyle_success,10,99,10.1010101010101
ChatGPT,2010,social_commentary,0,99,0.0
ChatGPT,2010,faith_spirituality,0,99,0.0
ChatGPT,2010,other,0,99,0.0
ChatGPT,2011,love_relationships,24,100,24.0
ChatGPT,2011,heartbreak_loss,12,100,12.0
ChatGPT,2011,sex_desire,15,100,15.0
ChatGPT,2011,self_reflection_growth,7,100,7.0
ChatGPT,2011,empowerment_confidence,12,100,12.0
ChatGPT,2011,party_celebration,21,100,21.0
ChatGPT,2011,lifestyle_success,7,100,7.0
ChatGPT,2011,social_commentary,2,100,2.0
ChatGPT,2011,faith_spirituality,0,100,0.0
ChatGPT,2011,other,0,100,0.0
ChatGPT,2012,love_relationships,34,100,34.0
ChatGPT,2012,heartbreak_loss,17,100,17.0
ChatGPT,2012,sex_desire,13,100,13.0
ChatGPT,2012,self_reflection_growth,5,100,5.0
ChatGPT,2012,empowerment_confidence,10,100,10.0
ChatGPT,2012,party_celebration,13,100,13.0
ChatGPT,2012,lifestyle_success,7,100,7.0
ChatGPT,2012,social_commentary,1,100,1.0
ChatGPT,2012,faith_spirituality,0,100,0.0
ChatGPT,2012,other,0,100,0.0
ChatGPT,2013,love_relationships,37,100,37.0
ChatGPT,2013,heartbreak_loss,9,100,9.0
ChatGPT,2013,sex_desire,9,100,9.0
ChatGPT,2013,self_reflection_growth,9,100,9.0
ChatGPT,2013,empowerment_confidence,11,100,11.0
ChatGPT,2013,party_celebration,10,100,10.0
ChatGPT,2013,lifestyle_success,9,100,9.0
ChatGPT,2013,social_commentary,4,100,4.0
ChatGPT,2013,faith_spirituality,1,100,1.0
ChatGPT,2013,other,1,100,1.0
ChatGPT,2014,love_relationships,25,99,25.252525252525253
ChatGPT,2014,heartbreak_loss,15,99,15.151515151515152
ChatGPT,2014,sex_desire,19,99,19.19191919191919
ChatGPT,2014,self_reflection_growth,12,99,12.121212121212121
ChatGPT,2014,empowerment_confidence,10,99,10.1010101010101
ChatGPT,2014,party_celebration,11,99,11.11111111111111
ChatGPT,2014,lifestyle_success,5,99,5.05050505050505
ChatGPT,2014,social_commentary,2,99,2.0202020202020203
ChatGPT,2014,faith_spirituality,0,99,0.0
ChatGPT,2014,other,0,99,0.0
ChatGPT,2015,love_relationships,35,98,35.714285714285715
ChatGPT,2015,heartbreak_loss,15,98,15.306122448979592
ChatGPT,2015,sex_desire,14,98,14.285714285714286
ChatGPT,2015,self_reflection_growth,2,98,2.0408163265306123
ChatGPT,2015,empowerment_confidence,13,98,13.26530612244898
ChatGPT,2015,party_celebration,10,98,10.204081632653061
ChatGPT,2015,lifestyle_success,7,98,7.142857142857143
ChatGPT,2015,social_commentary,0,98,0.0
ChatGPT,2015,faith_spirituality,1,98,1.0204081632653061
ChatGPT,2015,other,1,98,1.0204081632653061
ChatGPT,2016,love_relationships,30,100,30.0
ChatGPT,2016,heartbreak_loss,12,100,12.0
ChatGPT,2016,sex_desire,17,100,17.0
ChatGPT,2016,self_reflection_growth,9,100,9.0
ChatGPT,2016,empowerment_confidence,9,100,9.0
ChatGPT,2016,party_celebration,7,100,7.0
ChatGPT,2016,lifestyle_success,13,100,13.0
ChatGPT,2016,social_commentary,2,100,2.0
ChatGPT,2016,faith_spirituality,0,100,0.0
ChatGPT,2016,other,1,100,1.0
ChatGPT,2017,love_relationships,31,99,31.31313131313131
ChatGPT,2017,heartbreak_loss,9,99,9.090909090909092
ChatGPT,2017,sex_desire,15,99,15.151515151515152
ChatGPT,2017,self_reflection_growth,4,99,4.040404040404041
ChatGPT,2017,empowerment_confidence,10,99,10.1010101010101
ChatGPT,2017,party_celebration,7,99,7.070707070707071
